name,link,date,location
,/wiki/Powder_Alarm,"September 1, 1774",Massachusetts
,/wiki/Capture_of_Fort_William_and_Mary#Raid,"December 14, 1774",New Hampshire
,/wiki/Battles_of_Lexington_and_Concord,"April 19, 1775",Massachusetts
,/w/index.php?title=Battle_of_Meriam%27s_Corner&action=edit&redlink=1,"April 19, 1775",Massachusetts
,/wiki/Siege_of_Boston,"April 19, 1775 –March 17, 1776",Massachusetts
,/wiki/Gunpowder_Incident,"April 20, 1775",Virginia
,,"April 23, 1775",New York
,/wiki/Capture_of_Fort_Ticonderoga,"May 10, 1775",New York
,/wiki/Battle_of_Chelsea_Creek,"May 27–28, 1775",Massachusetts
,/wiki/Battle_of_Machias,"June 11–12, 1775",Massachusetts (present-day Maine)
,/wiki/Battle_of_Bunker_Hill,"June 17, 1775",Massachusetts
,/wiki/Capture_of_Turtle_Bay_Depot,"July 20, 1775",New York
,/wiki/Battle_of_Gloucester_(1775),"August 8, 1775",Massachusetts
,/wiki/Hearts_of_Oak_(New_York_militia),"August 23, 1775",New York
,/wiki/Siege_of_Fort_St._Jean,"September 17 –November 3, 1775",Quebec
,/wiki/Battle_of_Longue-Pointe,"September 25, 1775
","Quebec
"
,/wiki/Burning_of_Falmouth,"October 18, 1775",Massachusetts
,/wiki/Battle_of_Kemp%27s_Landing,"November 14, 1775",Virginia
,/wiki/Siege_of_Savage%27s_Old_Fields,"November 19–21, 1775",South Carolina
,/wiki/Battle_of_Great_Bridge,"December 9, 1775",Virginia
,/wiki/Snow_Campaign,December 1775,South Carolina
,/wiki/Battle_of_Great_Cane_Brake,"December 22, 1775",South Carolina
,/wiki/Battle_of_Quebec_(1775),"December 31, 1775",Quebec
,/wiki/Burning_of_Norfolk,"January 1, 1776",Virginia
,/wiki/Battle_of_Moore%27s_Creek_Bridge,"February 27, 1776",North Carolina
,/wiki/Battle_of_the_Rice_Boats,"March 2–3, 1776",Georgia
,/wiki/Raid_of_Nassau,"March 3–4, 1776",Bahamas
