latitude,longitude,battle_link,location_link
42°21′32″N,71°03′28″W,/wiki/Powder_Alarm,"/wiki/Suffolk_County,_Massachusetts"
43°04′20″N,70°42′58″W,/wiki/Capture_of_Fort_William_and_Mary#Raid,"/wiki/New_Castle,_New_Hampshire"
42°29′N,71°23′W,/wiki/Battles_of_Lexington_and_Concord,"/wiki/Middlesex_County,_Massachusetts"
42°27′34″N,71°19′27″W,/wiki/Battle_of_Meriam%27s_Corner,/wiki/Meriam%27s_Corner
42°21′37″N,71°3′28″W,/wiki/Siege_of_Boston,/wiki/Boston
37°16′15″N,76°42′25″W,/wiki/Gunpowder_Incident,"/wiki/Williamsburg,_Virginia"
,,,
43°50′55″N,73°25′23″W,/wiki/Capture_of_Fort_Ticonderoga,"/wiki/Ticonderoga_(village),_New_York"
42°21′32″N,71°03′28″W,/wiki/Battle_of_Chelsea_Creek,"/wiki/Suffolk_County,_Massachusetts"
44°41′N,67°28′W,/wiki/Battle_of_Machias,"/wiki/Machias,_Maine"
42°22′31″N,71°03′52″W,/wiki/Battle_of_Bunker_Hill,"/wiki/Charlestown,_Boston"
40°45′22″N,73°58′12″W,/wiki/Capture_of_Turtle_Bay_Depot,"/wiki/Turtle_Bay,_Manhattan"
42°38′56″N,70°35′33″W,/wiki/Battle_of_Gloucester_(1775),"/wiki/Cape_Ann,_Massachusetts"
,,/wiki/Hearts_of_Oak_(New_York_militia),
45°19′N,73°16′W,/wiki/Siege_of_Fort_St._Jean,/wiki/Saint-Jean-sur-Richelieu
45°30′32″N,73°33′15″W,/wiki/Battle_of_Longue-Pointe,/wiki/Montreal
43°39′36″N,70°15′18″W,/wiki/Burning_of_Falmouth,"/wiki/Portland,_Maine"
36°49′37″N,76°09′37″W,/wiki/Battle_of_Kemp%27s_Landing,"/wiki/Kemp%27s_Landing,_Virginia"
34°10′24″N,82°01′18″W,/wiki/Siege_of_Savage%27s_Old_Fields,"/wiki/Ninety_Six,_South_Carolina"
36°42′50″N,76°14′20″W,/wiki/Battle_of_Great_Bridge,"/wiki/Great_Bridge,_Virginia"
,,/wiki/Snow_Campaign,/wiki/Appalachian_Mountains
34°53′N,82°22′W,/wiki/Battle_of_Great_Cane_Brake,"/wiki/Greenville_County,_South_Carolina"
46°48′50″N,71°12′29″W,/wiki/Battle_of_Quebec_(1775),/wiki/Quebec_City
36°50′49″N,76°17′07″W,/wiki/Burning_of_Norfolk,"/wiki/Norfolk,_Virginia"
34°12′36″N,77°53′12″W,/wiki/Battle_of_Moore%27s_Creek_Bridge,"/wiki/Wilmington,_North_Carolina"
32°04′52″N,81°05′28″W,/wiki/Battle_of_the_Rice_Boats,"/wiki/Savannah,_Georgia"
25°02′39″N,77°21′01″W,/wiki/Raid_of_Nassau,"/wiki/Nassau,_Bahamas"
46°55′N,70°38′W,/wiki/Battle_of_Saint-Pierre,"/wiki/Saint-Pierre-de-la-Rivi%C3%A8re-du-Sud,_Quebec"
41°10′11″N,71°34′48″W,/wiki/Battle_of_Block_Island,/wiki/Block_Island
45°18′N,74°03′W,/wiki/Battle_of_The_Cedars,"/wiki/Les_C%C3%A8dres,_Quebec"
46°20′35″N,72°32′36″W,/wiki/Battle_of_Trois-Rivi%C3%A8res,/wiki/Trois-Rivi%C3%A8res
32°45′48″N,79°50′16″W,/wiki/Battle_of_Sullivan%27s_Island,/wiki/Sullivan%27s_Island
38°57′34″N,74°51′09″W,/wiki/Battle_of_Turtle_Gut_Inlet,/wiki/Turtle_Gut_Inlet
37°30′15″N,76°17′19″W,/wiki/Battle_of_Gwynn%27s_Island,"/wiki/Gwynn,_Virginia"
34°29′N,82°01′W,/wiki/Battle_of_Lindley%27s_Fort,"/wiki/Laurens_County,_South_Carolina"
