"Anim","Sex","Loca","Leng","Head","Ear","Arm","Leg","Pes","Tail","Weight","Age"
45,1,"G",NA,123,NA,59,69,59,93,NA,14
45,1,"G",NA,178,54,90,120,92,185,NA,28
45,1,"G",NA,250,92,130,210,142,307,NA,49
45,1,"G",NA,324,108,174,284,205,454,290,69
45,1,"G",NA,369,129,198,340,257,568,410,83
45,1,"G",NA,408,155,237,411,308,648,570,97
45,1,"G",NA,445,174,256,480,365,743,760,111
45,1,"G",NA,485,208,283,554,439,878,1000,125
45,1,"G",NA,515,223,313,638,515,1025,1270,139
45,1,"G",NA,552,255,355,753,621,1200,1710,153
45,1,"G",NA,595,329,406,870,737,1430,2350,168
45,1,"G",NA,631,347,458,985,852,1680,3130,181
45,1,"G",NA,670,427,507,1087,958,2040,4270,195
45,1,"G",NA,710,460,551,1198,1054,2370,6090,209
45,1,"G",NA,746,480,594,1279,1121,2780,8340,223
45,1,"G",NA,771,537,623,1362,1181,3080,11130,237
45,1,"G",NA,811,554,650,1445,1203,3120,13430,251
45,1,"G",NA,869,571,695,1557,1240,3320,20435,279
45,1,"G",NA,883,559,710,1550,1240,3470,23220,293
45,1,"G",NA,929,530,754,1613,1279,3720,26930,307
45,1,"G",NA,923,567,771,1679,1294,3670,29520,321
45,1,"G",NA,964,601,791,1728,1314,3630,32540,335
45,1,"G",NA,977,587,796,1753,1342,3920,31500,349
45,1,"G",NA,979,625,817,1750,1352,3930,31500,363
45,1,"G",844,965,601,830,1782,1361,3820,33000,377
45,1,"G",855,983,629,870,1820,1372,4210,NA,405
45,1,"G",873,1000,604,867,1878,1376,4090,36000,432
45,1,"G",902,1026,591,914,1900,1393,4220,41500,482
45,1,"G",905,1028,620,932,1911,1395,4180,42500,517
45,1,"G",909,1041,627,940,1925,1403,4420,43000,552
45,1,"G",928,1043,622,951,1967,1380,4190,46000,580
45,1,"G",952,1053,634,971,2010,1451,4400,49000,615
45,1,"G",978,1050,643,990,2035,1449,4340,51500,648
45,1,"G",975,1064,644,1000,2050,1441,4470,54500,671
45,1,"G",972,1100,634,1024,2028,1434,4360,54500,708
45,1,"G",977,1076,642,1039,2054,1443,4690,52500,733
45,1,"G",982,1095,650,1054,2083,1463,4700,55500,762
45,1,"G",1000,1101,668,1072,2077,1468,4790,55000,797
45,1,"G",1013,1115,675,1078,2123,1475,4770,58000,846
45,1,"G",1020,1101,660,1091,2134,1465,4920,55500,895
45,1,"G",1027,1127,663,1093,2139,1469,4910,57000,925
45,1,"G",1052,1124,660,1108,2162,1472,4810,57000,952
45,1,"G",1037,1116,660,1113,2142,1489,4970,60000,978
45,1,"G",1036,1121,681,1124,2201,1474,4800,63000,1021
45,1,"G",1043,1137,666,1144,2189,1468,4870,64000,1069
45,1,"G",1037,1135,668,1158,2171,1470,4940,62000,1098
45,1,"G",1049,1153,655,1166,2208,1471,5030,62500,1132
45,1,"G",1050,1138,675,1164,2173,1470,4940,60000,1174
45,1,"G",1054,1146,672,1167,2227,1494,5170,NA,1267
47,1,"G",NA,90,NA,45,NA,NA,NA,NA,4
47,1,"G",NA,145,NA,75,83,78,135,NA,18
47,1,"G",NA,220,72,119,172,122,264,NA,39
47,1,"G",NA,289,103,160,254,185,422,230,59
47,1,"G",NA,337,124,185,313,230,545,330,73
47,1,"G",NA,383,142,213,382,284,583,500,87
47,1,"G",NA,424,170,239,457,335,722,650,101
47,1,"G",NA,457,186,273,529,402,819,850,115
47,1,"G",NA,493,216,298,596,448,960,1050,129
47,1,"G",NA,532,240,330,681,554,1080,1320,143
47,1,"G",NA,573,267,373,798,650,1250,1730,158
47,1,"G",NA,604,333,422,885,766,1440,2270,171
47,1,"G",NA,656,389,469,1024,863,1720,3140,185
47,1,"G",NA,692,449,521,1161,992,2000,4750,199
47,1,"G",NA,742,484,573,1277,1092,2440,7150,213
47,1,"G",NA,777,518,611,1366,1149,2730,9730,227
47,1,"G",NA,804,545,640,1443,1180,3040,12960,241
47,1,"G",NA,855,522,650,1565,1204,3080,18860,269
47,1,"G",NA,888,549,694,1583,1232,3250,22220,283
47,1,"G",NA,912,551,714,1638,1264,3250,24710,297
47,1,"G",NA,954,588,764,1668,1301,3480,28360,311
47,1,"G",NA,957,600,768,1749,1311,3670,30580,325
47,1,"G",NA,970,612,802,1776,1330,3780,30830,339
47,1,"G",NA,986,608,815,1836,1376,3810,32450,353
47,1,"G",NA,971,616,836,1852,1385,3880,34000,367
47,1,"G",860,1009,613,861,1871,1381,3970,35500,395
47,1,"G",863,1006,623,887,1916,1397,4020,37000,421
47,1,"G",890,1025,636,912,1936,1406,4210,40500,471
47,1,"G",901,1047,632,931,1998,1416,4270,43000,506
47,1,"G",920,1050,642,937,2008,1415,4300,45000,541
47,1,"G",920,1074,644,959,2046,1423,4320,50000,569
47,1,"G",963,1069,668,980,2072,1451,4330,52500,604
47,1,"G",965,1081,670,1007,2131,1459,4380,55000,637
47,1,"G",982,1090,660,1023,2133,1451,4470,57500,660
47,1,"G",973,1114,650,1046,2148,1458,4490,59000,697
47,1,"G",978,1106,694,1053,2122,1464,4670,53500,723
47,1,"G",1002,1119,673,1076,2158,1471,4760,58000,752
47,1,"G",1008,1114,679,1092,2183,1462,4830,59000,787
47,1,"G",1020,1128,707,1102,2213,1461,4780,60000,836
47,1,"G",1020,1122,679,1107,2218,1465,4910,58500,885
47,1,"G",1025,1149,694,1117,2220,1475,4870,60000,913
47,1,"G",1030,1186,702,1117,2231,1454,4950,62500,942
47,1,"G",1028,1135,668,1132,2221,1458,4810,67000,968
47,1,"G",1052,1157,685,1145,2243,1453,4770,69000,1011
47,1,"G",1048,1184,689,1156,2261,1480,4870,67000,1059
47,1,"G",1059,1164,690,1172,2264,1464,4940,65000,1088
47,1,"G",1053,1169,697,1177,2265,1476,4940,66500,1122
47,1,"G",1054,1151,704,1181,2252,1491,5030,66500,1164
47,1,"G",1074,1163,685,1192,2271,1476,4850,62500,1286
53,2,"G",NA,78,NA,NA,NA,NA,NA,NA,0
53,2,"G",NA,139,NA,68,84,67,133,NA,17
53,2,"G",NA,212,80,115,160,116,260,NA,37
53,2,"G",NA,257,94,135,213,152,348,145,51
53,2,"G",NA,306,110,166,274,210,451,250,65
53,2,"G",NA,355,127,185,329,250,524,370,79
53,2,"G",NA,389,148,213,396,303,597,510,93
53,2,"G",NA,430,171,236,472,362,717,670,107
53,2,"G",NA,470,190,264,545,417,851,810,121
53,2,"G",NA,503,237,300,636,507,980,1070,136
53,2,"G",NA,531,274,330,720,594,1160,1410,149
53,2,"G",NA,577,295,373,819,676,1280,1700,163
53,2,"G",NA,606,359,420,935,806,1580,2510,177
53,2,"G",NA,648,401,459,1044,902,1830,3360,191
53,2,"G",NA,682,423,507,1145,1001,2160,4500,205
53,2,"G",NA,723,473,543,1250,1074,2390,6170,219
53,2,"G",NA,805,557,596,1332,1131,2960,11370,247
53,2,"G",NA,817,550,619,1402,1130,3150,14110,261
53,2,"G",NA,827,538,635,1469,1180,2970,16460,275
53,2,"G",NA,867,545,665,1549,1208,3360,18920,289
53,2,"G",NA,867,563,696,1605,1246,3290,21220,303
53,2,"G",NA,871,594,716,1630,1289,3410,21450,317
53,2,"G",NA,922,594,721,1640,1278,3480,22520,331
53,2,"G",NA,894,581,739,1664,1294,3750,24050,345
53,2,"G",NA,920,590,758,1690,1308,3820,25160,359
53,2,"G",785,929,577,773,1712,1292,3540,26000,373
53,2,"G",805,943,584,765,1754,1302,3740,27500,400
53,2,"G",824,966,604,812,1804,1318,3800,31500,450
53,2,"G",837,965,596,817,1816,1328,3750,34500,485
53,2,"G",844,994,598,833,1850,1336,3930,37500,520
53,2,"G",864,995,600,854,1874,1333,3910,40500,540
53,2,"G",876,993,614,850,1882,1354,3840,40500,583
53,2,"G",878,988,614,855,1914,1372,3920,40000,616
53,2,"G",892,1007,615,865,1935,1381,3980,40500,639
53,2,"G",892,1010,622,878,1943,1395,3970,40000,674
53,2,"G",902,1007,623,887,1947,1370,4190,38000,701
53,2,"G",892,1007,637,885,1949,1375,4100,39500,730
53,2,"G",906,1009,621,902,1970,1390,4280,38500,765
53,2,"G",921,1049,614,901,1984,1378,4280,43500,797
53,2,"G",911,1035,627,904,1975,1375,4360,38000,837
53,2,"G",921,1028,617,905,1990,1393,4350,39500,863
